date,ridership
2026-01-01,16467
2026-01-02,16873
2026-01-03,16790
2026-01-04,17468
2026-01-05,15043
2026-01-06,13938
2026-01-07,13075
2026-01-08,14247
2026-01-09,16425
2026-01-10,16133
2026-01-11,16736
2026-01-12,12497
2026-01-13,10130
2026-01-14,10915
2026-01-15,12841
2026-01-16,15198
2026-01-17,14573
2026-01-18,15059
2026-01-19,13041
2026-01-20,11001
2026-01-21,11319
2026-01-22,13310
2026-01-23,15550
2026-01-24,15343
2026-01-25,15758
2026-01-26,13703
2026-01-27,11632
2026-01-28,12489
2026-01-29,15378
2026-01-30,18231
2026-01-31,16867
2026-02-01,16681
2026-02-02,17273
2026-02-03,14482
2026-02-04,12899
2026-02-05,13427
2026-02-06,15938
2026-02-07,15998
2026-02-08,16635
2026-02-09,14193
2026-02-10,12887
2026-02-11,13707
2026-02-12,15352
2026-02-13,22833
2026-02-14,23014
2026-02-15,22126
2026-02-16,20013
2026-02-17,20600
2026-02-18,22879
2026-02-19,21325
2026-02-20,23847
2026-02-21,24179
2026-02-22,25781
2026-02-23,15038
2026-02-24,14143
2026-02-25,13260
2026-02-26,12897
2026-02-27,16400
2026-02-28,14672
2026-03-01,17335
2026-03-02,11911
2026-03-03,9354
2026-03-04,9959
2026-03-05,11870
2026-03-06,17187
2026-03-07,13704
2026-03-08,17533
2026-03-09,13261
2026-03-10,10108
2026-03-11,10060
2026-03-12,12542
2026-03-13,17325
2026-03-14,16009
2026-03-15,16874
2026-03-16,14233
2026-03-17,19905
2026-03-18,22146
2026-03-19,23292
2026-03-20,22606
2026-03-21,19422
2026-03-22,21218
2026-03-23,25218
2026-03-24,22919
2026-03-25,21181
2026-03-26,20644
2026-03-27,23342
2026-03-28,24421
2026-03-29,25751
2026-03-30,15791
2026-03-31,13030
2026-04-01,12176
2026-04-02,14499
2026-04-03,19808
2026-04-04,19264
2026-04-05,20616
2026-04-06,15423
2026-04-07,12774
2026-04-08,12500
2026-04-09,14804
2026-04-10,19947
2026-04-11,18715
2026-04-12,21380
2026-04-13,15457
2026-04-14,12598
2026-04-15,13101
2026-04-16,15133
2026-04-17,18857
2026-04-18,18154
2026-04-19,20963
2026-04-20,15447
2026-04-21,12007
2026-04-22,11939
2026-04-23,14790
2026-04-24,19492
2026-04-25,17769
2026-04-26,20294
2026-04-27,15984
2026-04-28,13608
2026-04-29,16731
2026-04-30,21853
2026-05-01,22198
2026-05-02,20096
2026-05-03,23737
2026-05-04,17713
