day_of_week,hour,ridership
Friday,0,419
Friday,1,356
Friday,2,62
Friday,3,18
Friday,4,4
Friday,5,5349
Friday,6,4791
Friday,7,23550
Friday,8,24199
Friday,9,23324
Friday,10,16253
Friday,11,20357
Friday,12,29404
Friday,13,21042
Friday,14,15859
Friday,15,31570
Friday,16,21019
Friday,17,21875
Friday,18,24334
Friday,19,18446
Friday,20,17192
Friday,21,8763
Friday,22,11329
Friday,23,2542
Monday,0,749
Monday,1,457
Monday,2,100
Monday,3,14
Monday,4,508
Monday,5,8350
Monday,6,5186
Monday,7,19659
Monday,8,23067
Monday,9,21590
Monday,10,14399
Monday,11,17308
Monday,12,27241
Monday,13,20194
Monday,14,9721
Monday,15,26680
Monday,16,16117
Monday,17,16678
Monday,18,16217
Monday,19,14109
Monday,20,10471
Monday,21,5984
Monday,22,5668
Monday,23,1280
Saturday,0,571
Saturday,1,360
Saturday,2,76
Saturday,3,16
Saturday,4,17
Saturday,5,7675
Saturday,6,6420
Saturday,7,24434
Saturday,8,25185
Saturday,9,24186
Saturday,10,17204
Saturday,11,21598
Saturday,12,30711
Saturday,13,21183
Saturday,14,13277
Saturday,15,29641
Saturday,16,18502
Saturday,17,19341
Saturday,18,18960
Saturday,19,15974
Saturday,20,13551
Saturday,21,6225
Saturday,22,8182
Saturday,23,1834
Sunday,0,514
Sunday,1,394
Sunday,2,58
Sunday,3,4
Sunday,4,27
Sunday,5,5496
Sunday,6,4517
Sunday,7,21377
Sunday,8,23343
Sunday,9,23580
Sunday,10,18580
Sunday,11,23285
Sunday,12,31345
Sunday,13,23464
Sunday,14,14962
Sunday,15,32454
Sunday,16,20837
Sunday,17,21633
Sunday,18,25086
Sunday,19,19298
Sunday,20,17047
Sunday,21,10371
Sunday,22,11489
Sunday,23,2784
Thursday,0,409
Thursday,1,228
Thursday,2,73
Thursday,3,15
Thursday,4,359
Thursday,5,4712
Thursday,6,3703
Thursday,7,19098
Thursday,8,21116
Thursday,9,19504
Thursday,10,13316
Thursday,11,16973
Thursday,12,25950
Thursday,13,19067
Thursday,14,12009
Thursday,15,26097
Thursday,16,17482
Thursday,17,17846
Thursday,18,19724
Thursday,19,15765
Thursday,20,15078
Thursday,21,5645
Thursday,22,9141
Thursday,23,1720
Tuesday,0,454
Tuesday,1,198
Tuesday,2,34
Tuesday,3,7
Tuesday,4,987
Tuesday,5,5248
Tuesday,6,3717
Tuesday,7,15274
Tuesday,8,18540
Tuesday,9,17395
Tuesday,10,12405
Tuesday,11,15323
Tuesday,12,22773
Tuesday,13,17105
Tuesday,14,9031
Tuesday,15,21596
Tuesday,16,14447
Tuesday,17,14684
Tuesday,18,14508
Tuesday,19,12052
Tuesday,20,9264
Tuesday,21,4854
Tuesday,22,5120
Tuesday,23,1087
Wednesday,0,399
Wednesday,1,223
Wednesday,2,49
Wednesday,3,8
Wednesday,4,20
Wednesday,5,4513
Wednesday,6,3311
Wednesday,7,15803
Wednesday,8,18711
Wednesday,9,17272
Wednesday,10,12404
Wednesday,11,15699
Wednesday,12,22939
Wednesday,13,17357
Wednesday,14,9703
Wednesday,15,22261
Wednesday,16,14724
Wednesday,17,14875
Wednesday,18,14981
Wednesday,19,12359
Wednesday,20,10430
Wednesday,21,4547
Wednesday,22,6263
Wednesday,23,1505
