date,state,income_mean,income_median,expenditure_mean,poverty
2022-01-01,Johor,8517,6879,5342,4.6
2022-01-01,Kedah,5550,4402,3765,9.0
2022-01-01,Kelantan,4885,3614,3505,13.2
2022-01-01,Melaka,8057,6210,5707,4.2
2022-01-01,Negeri Sembilan,6788,5226,4678,4.4
2022-01-01,Pahang,5777,4753,4107,6.3
2022-01-01,Pulau Pinang,8267,6502,5322,2.0
2022-01-01,Perak,5779,4494,3903,7.5
2022-01-01,Perlis,5664,4713,3834,4.0
2022-01-01,Selangor,12233,9983,6770,1.5
2022-01-01,Terengganu,7248,5878,4796,6.2
2022-01-01,Sabah,6171,4577,3342,19.7
2022-01-01,Sarawak,6457,4978,3915,10.8
2022-01-01,W.P. Kuala Lumpur,13325,10234,7823,1.4
2022-01-01,W.P. Labuan,8250,6904,4176,2.5
2022-01-01,W.P. Putrajaya,13473,10056,8897,0.1
