state,sex,population
Johor,female,1938.7
Johor,male,2245.6
Kedah,female,1084.5
Kedah,male,1132.6
Kelantan,female,939.0
Kelantan,male,949.0
Melaka,female,492.6
Melaka,male,554.1
Negeri Sembilan,female,595.3
Negeri Sembilan,male,644.1
Pahang,female,778.1
Pahang,male,889.7
Perak,female,1225.7
Perak,male,1343.7
Perlis,female,148.8
Perlis,male,147.9
Pulau Pinang,female,876.7
Pulau Pinang,male,923.8
Sabah,female,1786.9
Sabah,male,1955.0
Sarawak,female,1218.3
Sarawak,male,1299.2
Selangor,female,3429.2
Selangor,male,3933.5
Terengganu,female,598.8
Terengganu,male,632.8
W.P. Kuala Lumpur,female,950.6
W.P. Kuala Lumpur,male,1116.9
W.P. Labuan,female,49.0
W.P. Labuan,male,51.8
W.P. Putrajaya,female,60.8
W.P. Putrajaya,male,59.4
