year,line,ridership,ridership_mil
2019,KL Monorail,12535738,12.54
2019,LRT Ampang,65147222,65.15
2019,LRT Kelana Jaya,94657974,94.66
2019,MRT Kajang,63952805,63.95
2020,KL Monorail,7143534,7.14
2020,LRT Ampang,34715565,34.72
2020,LRT Kelana Jaya,45307182,45.31
2020,MRT Kajang,33168335,33.17
2021,KL Monorail,4226329,4.23
2021,LRT Ampang,21938973,21.94
2021,LRT Kelana Jaya,25123614,25.12
2021,MRT Kajang,19573010,19.57
2022,KL Monorail,10668069,10.67
2022,LRT Ampang,44151332,44.15
2022,LRT Kelana Jaya,55015765,55.02
2022,MRT Kajang,45348209,45.35
2023,KL Monorail,18107573,18.11
2023,LRT Ampang,50590579,50.59
2023,LRT Kelana Jaya,73763592,73.76
2023,MRT Kajang,66501508,66.5
2024,KL Monorail,20032392,20.03
2024,LRT Ampang,64022915,64.02
2024,LRT Kelana Jaya,84733297,84.73
2024,MRT Kajang,84520994,84.52
2025,KL Monorail,21101210,21.1
2025,LRT Ampang,71019400,71.02
2025,LRT Kelana Jaya,89632502,89.63
2025,MRT Kajang,92737532,92.74
